# samples	total features
CL01RT	89
CL02RT	78
CL03RT	69
CL04RT	83
CL06RT	103
CL08RT_N	89
CL09RT	101
CL10RT	104
CL11RT	109
CL13RT	125
CL14RT	94
CL15RT	113
CL16RT	114
CL18RT	148
CL19RT	97
CL20RT	89
CL22RT	89
CL23RT_N	112
CL24RT	100
CL25RT	83
CL26RT	100
CL27RT_N	82
CL28RT_N	102
CL29RT	104
CL30RT	95
CL33RT	84
CL35RT	120
CL36RT	114
CL38RT	103
CL39RT	132
CL40RT	110
CL41RT	121
CL42RT	106
CL44RT	77
CL45RT	103
CL46RT	102
CL47RT	100
CL49RT	119
CL50RT	91
CL52RT	131
CL53RT	69
CL55RT	102
CL56RT	96
CL57RT	94
CL58RT	102
CL59RT	103
CL60RT	85
CL61RT	101
CL62RT	83
CL63RT	57
CL64RT	109
CL65RT	79
CL67RT	89
CL68RT	121
CL69RT	143
CL72RT	102
CL74RT	113
CL76RT	86
CL77RT	130
CL78RT	122
